Category,MatchType,Pattern
Groceries & Markets,keyword,kroger
Groceries & Markets,keyword,wegmans
Groceries & Markets,keyword,publix
Groceries & Markets,keyword,indifresh
Restaurants & Food,keyword,restaurant
Restaurants & Food,keyword,starbucks
Shopping & Retail,keyword,amazon
Shopping & Retail,keyword,target
Auto & Gas,keyword,petro
Auto & Gas,keyword,chevron
Utilities Bills & Insurance,keyword,comcast
Utilities Bills & Insurance,keyword,verizon
Health,keyword,teladoc
Health,keyword,clinic
Entertainment,keyword,netflix
Home & Services,keyword,home
Home & Services,keyword,service
