Category,Vendor,Total
Groceries & Markets,INDIFRESH,0.0
Groceries & Markets,KROGER,0.0
Groceries & Markets,PUBLIX,0.0
Groceries & Markets,Category Total,0.0
Home & Services,THE,0.0
Home & Services,Category Total,0.0
Uncategorized,nan,-3615.69
Uncategorized,AAA,0.0
Uncategorized,CHIPOTLE,0.0
Uncategorized,AUTOPAY,0.0
Uncategorized,CVS/PHARMACY,0.0
Uncategorized,DUNKIN,0.0
Uncategorized,FC,0.0
Uncategorized,COSTCO,0.0
Uncategorized,JFI*URBAN,0.0
Uncategorized,MCDONALD'S,0.0
Uncategorized,RED,0.0
Uncategorized,SHELL,0.0
Uncategorized,SQ,0.0
Uncategorized,TACO,0.0
Uncategorized,TANISHQ,0.0
Uncategorized,FCS,0.0
Uncategorized,TFK-ALPHARETTA,0.0
Uncategorized,TJ,0.0
Uncategorized,TST*INDI,0.0
Uncategorized,TST*,0.0
Uncategorized,WAL-MART,0.0
Uncategorized,Category Total,-3615.69
